score,attempts,timeSpentSeconds,correct,total,status
66,6,1188,14,21,developing
65,1,139,27,38,developing
60,6,1278,15,25,developing
58,7,1792,8,13,weak
97,1,150,12,12,mastered
100,2,454,15,15,mastered
66,1,223,13,18,developing
77,5,1270,17,20,developing
19,9,2052,3,13,weak
36,1,208,14,37,weak
89,9,1971,20,21,mastered
63,5,650,15,22,developing
82,5,805,9,11,developing
47,3,696,9,21,weak
91,9,1764,20,21,mastered
41,4,888,7,16,weak
47,7,1302,6,12,weak
78,5,620,13,16,developing
100,2,528,29,30,mastered
94,7,1960,23,24,mastered
41,7,1722,16,37,weak
50,3,288,8,14,weak
76,6,570,15,20,developing
33,6,666,11,31,weak
30,9,1467,6,22,weak
97,9,2691,29,31,mastered
68,2,480,10,14,developing
78,7,1764,19,25,developing
83,5,1105,29,36,developing
43,7,1540,5,12,weak
42,5,1125,17,38,weak
77,4,552,16,22,developing
59,2,326,10,15,weak
77,8,1448,12,16,developing
64,3,759,12,18,developing
46,3,354,13,27,weak
56,4,980,12,21,weak
62,5,815,22,35,developing
95,5,1005,10,11,mastered
69,9,1827,19,28,developing
81,2,292,26,32,developing
63,6,1032,12,18,developing
84,6,1608,9,10,developing
56,6,1728,6,10,weak
100,3,315,12,12,mastered
59,6,1632,23,37,weak
63,6,1242,23,35,developing
82,6,1584,31,37,developing
100,3,774,18,18,mastered
86,9,2637,9,10,mastered
52,8,2240,14,27,weak
86,1,200,23,26,mastered
71,6,594,13,18,developing
77,2,170,20,24,developing
64,9,2322,10,14,developing
35,3,765,8,24,weak
56,6,1020,8,14,weak
70,5,1075,17,23,developing
36,3,780,14,35,weak
89,9,2187,16,18,mastered
96,8,1632,34,35,mastered
87,1,154,29,34,mastered
87,9,738,31,35,mastered
77,5,1210,17,23,developing
64,6,1062,13,20,developing
75,7,1694,9,12,developing
70,5,1095,13,19,developing
49,6,996,14,32,weak
80,6,702,31,37,developing
72,5,885,13,17,developing
16,8,1104,7,34,weak
94,3,408,14,15,mastered
95,8,1320,18,19,mastered
46,9,2340,11,22,weak
61,2,540,24,38,developing
72,8,2080,9,13,developing
60,7,1260,22,38,weak
97,9,2286,28,29,mastered
71,6,1728,22,32,developing
88,1,145,23,26,mastered
98,8,2376,9,10,mastered
38,8,728,16,38,weak
20,9,2268,3,13,weak
44,6,600,6,12,weak
72,1,188,15,21,developing
59,8,2256,22,35,weak
86,2,238,14,15,mastered
37,4,544,5,13,weak
48,9,2331,16,35,weak
73,2,522,14,19,developing
70,1,107,17,24,developing
56,1,166,16,31,weak
100,8,1752,11,11,mastered
60,2,536,21,36,weak
64,2,312,8,12,developing
61,7,1575,18,28,developing
78,7,1141,29,38,developing
86,4,412,14,15,mastered
49,8,672,12,26,weak
57,7,2065,14,23,weak
61,4,320,15,24,developing
55,4,696,21,39,weak
98,4,560,31,32,mastered
54,5,1005,12,22,weak
69,3,648,15,21,developing
60,1,116,7,11,developing
67,5,1045,7,11,developing
79,8,1312,9,12,developing
70,3,780,16,24,developing
66,4,368,28,39,developing
47,4,568,20,37,weak
96,3,786,23,23,mastered
77,8,1408,14,19,developing
81,2,406,29,35,developing
38,7,1869,5,14,weak
83,6,1530,18,22,developing
70,3,597,10,14,developing
49,3,753,11,20,weak
80,1,253,10,13,developing
100,5,645,12,12,mastered
53,3,876,11,20,weak
80,8,2304,28,36,developing
77,3,594,29,36,developing
93,9,1809,22,22,mastered
71,2,382,15,21,developing
46,4,540,17,34,weak
49,1,264,11,23,weak
77,1,213,9,11,developing
66,3,555,7,11,developing
94,2,230,30,32,mastered
70,1,274,12,17,developing
27,1,291,5,20,weak
68,7,1610,23,33,developing
43,4,516,10,24,weak
86,4,1104,29,32,mastered
57,9,2115,16,26,weak
77,2,394,12,15,developing
55,3,246,20,35,weak
54,2,518,12,20,weak
66,5,1460,25,39,developing
66,3,630,21,30,developing
83,1,101,24,30,developing
64,1,118,24,38,developing
60,8,1456,18,28,developing
28,6,1596,7,23,weak
63,6,744,23,36,developing
57,5,1415,20,36,weak
88,8,824,34,36,mastered
75,2,576,12,17,developing
55,3,810,18,32,weak
79,9,1494,15,20,developing
97,2,298,25,26,mastered
71,3,282,10,15,developing
86,4,1136,27,31,mastered
100,7,777,12,12,mastered
38,2,212,7,17,weak
77,1,231,28,36,developing
100,8,824,23,23,mastered
60,3,252,14,24,weak
64,6,1284,25,39,developing
53,2,348,11,18,weak
95,6,876,38,39,mastered
76,5,1170,23,30,developing
49,5,790,11,21,weak
88,7,1589,28,33,developing
53,1,114,18,36,weak
57,1,285,18,31,weak
100,3,324,18,18,mastered
88,2,230,15,17,mastered
88,7,1218,11,13,mastered
80,4,576,14,18,developing
71,3,870,15,20,developing
86,6,618,31,35,mastered
74,4,996,21,29,developing
66,2,446,26,38,developing
54,6,1626,12,21,weak
58,1,260,18,30,weak
84,7,882,25,29,developing
70,3,867,13,17,developing
91,1,239,16,17,mastered
80,4,1124,11,15,developing
66,8,1440,23,36,developing
82,9,1980,16,19,developing
77,3,579,19,25,developing
63,6,1020,11,16,developing
77,7,1757,19,26,developing
76,7,2016,12,15,developing
80,9,2187,26,34,developing
48,6,1332,8,15,weak
68,4,460,13,20,developing
42,9,1980,7,15,weak
37,2,546,4,10,weak
100,3,459,25,26,mastered
68,4,756,22,31,developing
73,2,198,12,15,developing
67,4,696,16,23,developing
42,8,2056,9,22,weak
89,9,2475,37,39,mastered
45,3,462,11,23,weak
57,1,127,20,38,weak
71,5,885,24,34,developing
78,8,1112,22,28,developing
81,7,819,28,32,developing
91,9,747,9,10,mastered
86,2,544,23,28,developing
60,2,536,23,38,developing
100,3,291,18,18,mastered
35,3,720,13,35,weak
54,9,963,7,14,weak
59,8,1696,8,13,weak
61,8,1336,16,26,developing
45,3,774,11,25,weak
51,7,1624,6,11,weak
72,4,484,10,14,developing
77,2,406,15,20,developing
86,1,253,18,20,mastered
73,5,1330,18,26,developing
73,8,1656,25,36,developing
69,5,1420,20,30,developing
71,6,1662,7,10,developing
78,9,1449,19,26,developing
44,2,350,7,14,weak
75,1,263,30,38,developing
81,4,908,19,23,developing
90,6,564,33,38,mastered
68,7,2065,10,15,developing
33,3,633,9,24,weak
87,5,1430,28,32,mastered
98,9,1044,23,23,mastered
100,7,1876,29,30,mastered
65,7,1862,18,26,developing
59,7,1344,21,37,weak
36,5,1000,7,21,weak
81,9,936,24,31,developing
66,8,1584,15,24,developing
83,6,1476,16,20,developing
97,6,1536,12,13,mastered
87,1,244,17,20,mastered
70,3,534,9,14,developing
84,8,1784,9,11,developing
84,3,750,19,23,developing
82,8,2320,8,10,developing
36,4,1004,10,24,weak
59,5,500,6,10,weak
76,7,1575,27,36,developing
50,2,598,5,10,weak
95,4,808,26,27,mastered
55,6,1440,18,31,weak
52,9,2619,11,20,weak
44,2,260,17,36,weak
29,1,90,10,32,weak
80,7,1638,13,17,developing
94,2,200,12,12,mastered
39,3,405,9,25,weak
29,8,2320,5,14,weak
46,1,141,14,28,weak
31,8,2040,8,22,weak
24,1,168,7,25,weak
76,3,639,11,14,developing
47,4,888,15,28,weak
56,4,1040,6,10,weak
83,4,716,29,36,developing
97,3,276,34,35,mastered
81,9,1575,12,15,developing
77,3,834,12,16,developing
72,3,783,12,17,developing
82,4,920,13,16,developing
72,2,434,23,33,developing
71,7,560,11,16,developing
85,7,854,18,20,mastered
63,6,624,18,27,developing
70,2,378,9,12,developing
86,1,103,27,31,mastered
75,6,1050,10,14,developing
45,3,486,8,18,weak
80,9,1692,16,20,developing
96,7,952,31,32,mastered
76,3,681,17,23,developing
73,9,1818,29,38,developing
53,8,1512,20,36,weak
70,3,306,16,23,developing
75,4,520,18,22,developing
76,9,1197,23,28,developing
58,2,276,8,15,weak
57,4,1168,13,22,weak
67,6,1116,20,31,developing
44,9,1881,16,36,weak
77,3,876,19,24,developing
90,7,1435,21,23,mastered
30,5,1160,10,34,weak
65,7,840,27,39,developing
88,3,588,30,32,mastered
85,2,344,26,31,developing
70,2,310,17,25,developing
66,9,990,10,16,developing
79,6,1164,8,10,developing
64,3,840,11,18,developing
100,4,608,32,33,mastered
52,7,1526,15,29,weak
65,2,522,20,30,developing
72,1,114,22,32,developing
82,4,520,14,17,developing
65,6,1338,16,23,developing
60,8,2032,9,14,developing
25,4,564,9,30,weak
83,5,1030,28,35,developing
58,1,98,16,25,weak
85,7,1169,18,21,developing
90,7,1288,18,21,mastered
89,8,896,19,20,mastered
89,5,475,23,26,mastered
96,7,763,38,39,mastered
99,3,753,11,11,mastered
51,9,2025,11,20,weak
64,2,502,9,14,developing
100,7,896,31,32,mastered
77,2,542,17,20,developing
51,5,1295,11,21,weak
57,5,815,13,24,weak
73,6,588,27,35,developing
100,4,388,14,14,mastered
71,2,192,12,16,developing
65,1,216,24,35,developing
50,7,1015,5,11,weak
46,5,1015,8,18,weak
47,5,1165,15,32,weak
57,9,1863,15,26,weak
85,8,824,15,17,mastered
79,2,350,19,23,developing
71,9,846,11,16,developing
73,8,1360,30,39,developing
40,3,687,14,32,weak
41,1,255,5,11,weak
67,1,180,7,10,developing
55,7,1449,17,32,weak
83,9,981,18,20,developing
49,1,221,15,27,weak
70,8,2032,15,20,developing
36,5,1140,8,19,weak
94,9,1080,18,18,mastered
78,1,206,19,25,developing
25,2,348,3,11,weak
56,5,1185,14,22,weak
63,1,289,23,38,developing
51,6,1416,6,13,weak
59,6,1554,7,12,weak
50,7,1274,10,22,weak
66,8,2176,13,19,developing
59,1,173,21,33,weak
81,5,1265,11,13,developing
66,4,600,14,20,developing
95,2,206,21,21,mastered
67,8,1816,9,14,developing
40,4,1032,11,30,weak
67,9,1260,17,24,developing
69,3,498,22,31,developing
77,1,227,11,15,developing
74,4,480,17,24,developing
78,3,744,28,37,developing
59,9,1728,13,23,weak
100,3,369,38,39,mastered
83,3,771,12,14,developing
100,2,568,28,29,mastered
52,9,1224,15,27,weak
64,9,2007,20,30,developing
98,8,1368,22,22,mastered
37,6,756,7,18,weak
20,5,835,2,10,weak
83,4,992,33,39,developing
57,2,262,18,29,weak
85,8,648,11,13,mastered
57,6,1620,22,39,weak
45,2,540,16,37,weak
46,7,567,14,28,weak
71,8,1528,7,10,developing
58,2,440,10,16,weak
99,6,1452,31,32,mastered
77,2,284,19,26,developing
82,4,844,10,12,developing
20,9,2295,4,18,weak
58,9,1971,7,12,weak
68,2,338,11,16,developing
31,4,460,10,37,weak
55,6,606,13,24,weak
97,6,1512,29,30,mastered
63,5,945,10,17,developing
77,4,968,20,25,developing
71,2,278,10,14,developing
47,6,1734,10,23,weak
43,5,1330,9,19,weak
79,9,2169,16,19,developing
38,2,518,5,12,weak
68,6,918,11,15,developing
80,7,966,25,33,developing
49,2,268,19,34,weak
67,8,1656,25,36,developing
77,4,392,16,20,developing
80,3,501,24,30,developing
86,3,516,25,30,developing
56,7,1099,16,30,weak
44,1,215,16,39,weak
54,1,149,18,32,weak
54,1,245,16,27,weak
43,6,1206,8,20,weak
97,3,648,11,12,mastered
28,7,805,4,13,weak
95,5,800,16,17,mastered
59,7,1498,13,22,weak
68,9,846,18,25,developing
60,4,1080,13,22,weak
80,8,1664,14,16,developing
60,6,1038,6,10,developing
85,9,1494,27,31,mastered
53,7,1113,8,15,weak
49,8,952,19,39,weak
90,2,248,37,39,mastered
68,6,870,18,27,developing
44,1,261,8,20,weak
68,4,952,15,22,developing
76,2,254,11,14,developing
81,3,834,21,26,developing
69,1,187,18,26,developing
32,2,408,10,34,weak
68,4,520,20,28,developing
69,1,279,22,30,developing
37,5,805,12,35,weak
61,2,560,10,16,developing
64,1,233,15,22,developing
33,3,426,13,36,weak
41,4,1016,7,16,weak
39,9,1035,12,28,weak
43,5,970,5,12,weak
82,7,826,17,21,developing
31,4,864,9,32,weak
92,7,1120,12,14,mastered
58,1,292,23,39,weak
67,5,670,16,22,developing
21,7,1400,4,22,weak
69,4,468,13,17,developing
54,9,2160,17,34,weak
100,1,206,21,21,mastered
27,2,596,10,37,weak
82,2,568,15,18,developing
71,6,696,9,12,developing
73,8,792,31,39,developing
91,9,2646,11,11,mastered
99,8,2208,27,28,mastered
31,9,2295,13,39,weak
91,7,1379,15,17,mastered
86,8,2056,12,13,mastered
95,7,763,33,34,mastered
93,2,176,30,31,mastered
79,8,1344,20,24,developing
53,4,620,19,38,weak
77,1,151,20,27,developing
84,6,1458,17,20,developing
69,6,834,7,10,developing
69,2,278,7,11,developing
76,6,1038,28,37,developing
82,7,1400,26,30,developing
61,1,187,8,12,developing
76,6,1446,10,14,developing
49,1,155,7,13,weak
69,9,2205,14,21,developing
61,8,784,16,25,developing
94,7,973,17,18,mastered
49,1,240,14,27,weak
68,2,478,22,32,developing
63,7,826,14,21,developing
59,5,650,16,27,weak
80,2,518,8,10,developing
74,7,700,21,27,developing
90,4,480,33,36,mastered
87,8,1984,12,14,mastered
73,8,928,14,19,developing
64,6,1140,17,28,developing
94,6,996,37,38,mastered
65,2,290,14,23,developing
77,7,1967,24,30,developing
81,1,90,11,13,developing
49,4,584,8,17,weak
39,7,1869,5,12,weak
85,9,1152,20,24,developing
91,9,1341,28,31,mastered
55,2,494,21,37,weak
41,7,777,14,31,weak
84,6,1422,10,12,developing
54,8,1832,15,29,weak
95,6,1260,36,37,mastered
66,5,435,19,29,developing
72,6,1164,26,34,developing
93,7,1876,32,33,mastered
68,2,342,18,28,developing
41,5,1190,6,14,weak
73,9,801,13,17,developing
100,4,344,17,17,mastered
76,8,856,23,30,developing
80,8,2376,15,18,developing
95,9,1899,13,13,mastered
95,9,2250,10,11,mastered
85,7,1330,29,33,mastered
74,7,609,7,10,developing
80,7,1806,14,17,developing
99,2,172,31,32,mastered
60,8,1624,6,10,developing
69,9,990,13,19,developing
74,7,2086,7,10,developing
59,5,1020,17,29,weak
60,9,2250,21,32,developing
88,3,780,28,33,developing
71,1,167,25,33,developing
65,1,298,20,32,developing
84,5,1480,33,37,developing
38,8,1976,10,23,weak
77,3,804,21,28,developing
100,2,512,38,39,mastered
96,1,236,36,37,mastered
97,2,342,13,13,mastered
49,7,665,17,37,weak
77,1,275,14,17,developing
96,1,218,38,39,mastered
64,6,876,22,34,developing
57,1,225,14,26,weak
74,8,1504,20,28,developing
71,9,927,25,35,developing
66,5,1055,25,39,developing
65,9,1224,19,27,developing
30,9,999,6,17,weak
49,5,1480,18,38,weak
61,2,568,22,35,developing
32,9,1548,10,30,weak
96,5,700,20,20,mastered
49,2,580,7,12,weak
88,5,425,26,28,mastered
39,9,1989,5,14,weak
94,2,202,33,37,mastered
59,5,1000,9,14,weak
91,3,519,30,35,mastered
71,9,2025,20,27,developing
100,1,181,32,33,mastered
68,6,786,9,14,developing
64,4,936,23,37,developing
96,6,1770,25,26,mastered
91,1,285,35,38,mastered
64,5,1075,22,33,developing
80,9,1764,13,16,developing
34,2,410,5,14,weak
47,3,417,15,29,weak
65,8,1544,15,23,developing
85,5,620,29,34,mastered
38,2,448,7,20,weak
51,4,416,14,29,weak
76,2,264,8,11,developing
66,7,1743,10,14,developing
69,6,1446,8,12,developing
82,5,995,20,24,developing
92,4,948,14,14,mastered
50,1,244,14,29,weak
99,5,1305,11,11,mastered
63,5,1035,26,39,developing
87,3,435,23,26,mastered
70,8,1080,26,38,developing
21,3,315,3,12,weak
76,5,1320,17,24,developing
80,5,1325,17,22,developing
43,5,1305,14,33,weak
86,5,600,10,12,developing
69,5,1220,12,18,developing
81,4,748,27,34,developing
85,6,1278,18,22,developing
44,3,645,15,31,weak
65,6,1356,11,16,developing
73,9,918,11,14,developing
64,1,246,25,36,developing
68,8,1784,22,30,developing
75,8,1704,9,11,developing
67,5,1225,26,38,developing
51,9,1026,9,17,weak
62,6,990,20,33,developing
50,3,558,10,20,weak
94,3,864,24,26,mastered
81,8,784,13,16,developing
44,1,132,14,31,weak
70,4,636,11,16,developing
92,7,658,19,20,mastered
15,4,1096,5,24,weak
56,5,535,14,24,weak
89,4,396,32,37,mastered
52,3,465,12,21,weak
85,5,925,19,23,developing
74,7,2044,29,38,developing
60,1,183,19,31,developing
67,5,1210,10,15,developing
60,4,504,14,24,weak
64,6,1698,24,38,developing
68,7,812,24,34,developing
87,6,1758,25,29,mastered
47,3,438,9,17,weak
55,6,918,8,15,weak
75,3,798,21,29,developing
69,9,2358,22,34,developing
91,1,211,15,17,mastered
60,9,2430,9,16,weak
73,5,1455,25,33,developing
98,5,1395,28,29,mastered
36,1,83,7,17,weak
52,9,2511,14,28,weak
78,6,1176,20,24,developing
72,4,1108,7,10,developing
51,2,328,9,18,weak
91,4,1028,13,14,mastered
46,2,506,6,14,weak
52,7,1666,18,31,weak
71,8,864,25,33,developing
93,7,938,21,22,mastered
59,4,880,12,22,weak
76,2,342,21,28,developing
94,2,322,30,31,mastered
70,9,1044,25,36,developing
54,3,690,21,36,weak
92,5,1290,10,11,mastered
89,8,1944,21,22,mastered
93,6,1788,14,14,mastered
52,5,725,11,20,weak
100,9,2601,11,11,mastered
50,9,1359,19,39,weak
85,3,663,26,29,mastered
63,6,1734,26,38,developing
89,7,1435,10,11,mastered
22,2,172,8,34,weak
72,2,236,28,38,developing
93,1,207,16,16,mastered
79,3,627,8,11,developing
71,7,945,14,20,developing
66,9,2241,16,22,developing
31,3,462,5,14,weak
73,4,1112,26,33,developing
54,2,214,7,13,weak
95,4,460,25,27,mastered
92,1,180,28,31,mastered
76,1,244,18,25,developing
74,1,246,22,30,developing
65,4,336,22,33,developing
51,5,795,15,27,weak
80,4,1024,26,33,developing
42,3,798,5,12,weak
83,8,2264,8,10,developing
81,9,1953,31,36,developing
86,4,852,21,24,mastered
51,6,1620,6,11,weak
89,9,1710,27,29,mastered
79,6,846,26,35,developing
74,3,507,19,26,developing
91,6,810,29,31,mastered
41,7,742,16,38,weak
88,9,2394,25,27,mastered
69,2,416,28,38,developing
91,7,1260,13,14,mastered
98,4,1124,14,14,mastered
49,7,1225,17,33,weak
76,4,1172,10,13,developing
66,1,124,26,37,developing
60,8,824,10,16,weak
68,5,690,18,26,developing
84,1,163,9,11,developing
67,3,519,24,37,developing
69,5,830,20,30,developing
21,4,860,3,15,weak
93,8,1264,28,29,mastered
62,6,1392,16,24,developing
53,6,540,17,33,weak
43,7,1491,9,21,weak
87,8,1752,11,12,mastered
94,8,1192,25,26,mastered
79,4,836,31,38,developing
62,4,644,7,12,developing
90,1,105,30,33,mastered
68,9,864,11,16,developing
31,6,1038,6,18,weak
98,3,534,20,20,mastered
74,2,544,17,22,developing
94,9,837,16,18,mastered
99,3,861,18,18,mastered
56,7,854,10,17,weak
71,7,1064,9,12,developing
51,9,1692,15,26,weak
65,5,825,19,28,developing
62,8,1528,11,19,weak
66,4,820,24,35,developing
62,7,1407,17,25,developing
84,6,918,26,29,developing
54,8,2056,17,30,weak
94,5,820,34,37,mastered
77,1,277,21,27,developing
94,6,594,17,19,mastered
54,5,825,17,32,weak
58,7,1470,20,34,weak
82,5,1110,14,18,developing
78,2,452,28,36,developing
61,1,148,21,35,weak
82,4,640,17,22,developing
28,3,537,8,30,weak
46,2,574,11,25,weak
41,1,132,6,15,weak
50,3,774,17,33,weak
92,6,1680,23,25,mastered
97,4,908,24,24,mastered
42,9,1314,7,19,weak
93,4,656,15,16,mastered
60,6,1116,19,30,developing
34,3,792,11,37,weak
84,2,424,29,35,developing
67,8,1896,11,15,developing
83,3,534,22,27,developing
96,6,756,30,31,mastered
87,8,1448,17,20,mastered
87,9,2151,17,20,developing
68,8,1040,11,17,developing
91,5,1315,14,15,mastered
51,9,2457,9,17,weak
54,2,308,18,36,weak
71,3,330,26,34,developing
78,2,572,19,23,developing
71,7,1463,15,21,developing
28,3,459,10,30,weak
97,6,624,29,30,mastered
90,5,1085,17,19,mastered
78,8,992,14,17,developing
84,7,595,21,25,developing
49,6,1146,7,14,weak
71,1,293,11,16,developing
82,7,1057,24,29,developing
42,3,645,16,37,weak
47,3,483,12,24,weak
32,1,132,6,20,weak
61,7,2016,9,14,developing
88,7,728,18,20,mastered
68,6,576,22,33,developing
72,1,285,12,16,developing
71,4,1036,8,11,developing
86,2,430,10,11,mastered
100,2,314,28,29,mastered
97,9,828,31,32,mastered
60,5,1350,19,33,weak
76,5,1390,10,14,developing
80,8,1688,14,17,developing
98,9,2367,17,17,mastered
62,5,1320,23,37,developing
97,3,816,13,14,mastered
61,1,286,7,11,developing
78,8,776,11,13,developing
51,1,143,7,12,weak
44,1,166,6,13,weak
84,2,160,16,19,developing
70,6,966,18,24,developing
76,1,233,18,23,developing
33,7,1666,4,12,weak
72,9,2529,8,11,developing
61,2,566,15,25,weak
97,9,1206,30,32,mastered
28,6,822,9,36,weak
94,9,810,12,12,mastered
55,5,1280,19,33,weak
77,6,1014,28,38,developing
74,9,1008,13,18,developing
65,6,1776,19,27,developing
35,2,398,5,17,weak
58,3,759,20,35,weak
97,3,270,11,11,mastered
75,3,246,11,15,developing
79,3,660,17,20,developing
64,9,1143,16,27,developing
75,4,724,27,38,developing
88,6,960,35,39,mastered
53,3,645,16,29,weak
82,2,424,33,39,developing
91,7,1715,34,38,mastered
46,9,2394,6,14,weak
76,6,1434,10,14,developing
54,5,785,8,16,weak
70,8,824,26,39,developing
81,9,1359,10,13,developing
98,7,1071,21,21,mastered
50,4,1012,19,38,weak
82,4,748,17,21,developing
38,2,398,10,26,weak
48,1,119,17,32,weak
61,3,801,13,20,developing
76,9,1980,9,11,developing
43,6,1746,9,19,weak
94,9,1197,21,21,mastered
84,4,1128,24,28,developing
77,9,1854,16,21,developing
62,9,1935,18,28,developing
33,8,1496,10,27,weak
77,1,147,8,11,developing
59,3,486,22,36,weak
59,8,1752,17,27,weak
51,1,127,14,26,weak
53,5,1030,10,17,weak
71,1,229,26,35,developing
60,8,1296,18,28,developing
79,8,1368,13,16,developing
66,3,759,19,28,developing
32,1,99,7,20,weak
76,2,284,25,31,developing
72,5,600,21,31,developing
41,5,1165,10,24,weak
91,7,1596,25,28,mastered
78,7,1043,9,11,developing
95,9,1314,23,23,mastered
57,1,216,18,32,weak
74,1,204,18,23,developing
58,7,1848,18,28,weak
90,9,1845,13,14,mastered
69,5,1235,10,14,developing
77,5,435,15,21,developing
39,6,1668,6,15,weak
72,4,864,24,33,developing
68,5,1260,17,23,developing
70,8,1760,8,11,developing
82,1,122,13,16,developing
53,3,342,12,20,weak
36,7,1617,13,35,weak
61,8,2080,12,18,developing
76,3,861,16,21,developing
77,8,1592,10,14,developing
93,3,255,21,22,mastered
44,2,306,16,35,weak
37,2,460,12,31,weak
42,7,1302,7,16,weak
67,3,612,18,26,developing
83,8,1648,26,32,developing
58,6,1116,12,19,weak
53,5,1020,11,19,weak
77,3,564,26,32,developing
71,7,616,25,36,developing
65,4,352,15,24,developing
100,7,567,35,36,mastered
56,6,1092,16,27,weak
81,5,1390,17,21,developing
86,6,1182,25,30,developing
81,8,896,29,35,developing
85,8,2024,9,11,developing
59,5,1485,16,26,weak
53,4,900,18,33,weak
67,8,2184,19,27,developing
54,1,269,15,27,weak
52,9,2637,14,25,weak
51,6,1602,14,26,weak
47,1,139,9,18,weak
56,1,295,9,16,weak
21,4,552,10,38,weak
95,6,546,24,24,mastered
58,8,2360,15,27,weak
77,6,912,12,15,developing
66,6,1212,17,24,developing
49,6,1170,11,20,weak
60,9,855,13,21,developing
68,3,420,20,30,developing
49,1,249,13,26,weak
70,6,1254,10,15,developing
70,1,247,26,38,developing
79,5,1000,11,14,developing
74,1,85,9,11,developing
84,7,1456,15,18,developing
54,6,1086,6,12,weak
